Install Date,No_of_installs,purchase_week1,purchase_week2,purchase_week3,purchase_week4,purchase_week5
2019-11-01,96,96.0,,,,
2019-11-02,106,106.0,,,,
2019-11-03,109,109.0,,,,
2019-11-04,57,,57.0,,,
2019-11-05,80,,80.0,,,
2019-11-06,93,,93.0,,,
2019-11-07,128,,128.0,,,
2019-11-08,177,,177.0,,,
2019-11-09,153,,153.0,,,
2019-11-10,93,,93.0,,,
2019-11-11,82,,,82.0,,
2019-11-12,107,,,107.0,,
2019-11-13,92,,,92.0,,
2019-11-14,47,,,47.0,,
2019-11-15,26,,,26.0,,
2019-11-16,39,,,39.0,,
2019-11-17,97,,,97.0,,
2019-11-18,50,,,,50.0,
2019-11-19,45,,,,45.0,
2019-11-20,48,,,,48.0,
2019-11-21,44,,,,44.0,
2019-11-22,50,,,,50.0,
2019-11-23,36,,,,36.0,
2019-11-24,49,,,,49.0,
2019-11-25,49,,,,,49.0
2019-11-26,40,,,,,40.0
2019-11-27,32,,,,,32.0
2019-11-28,32,,,,,32.0
2019-11-29,41,,,,,41.0
2019-11-30,45,,,,,45.0
